Gene,Start
WBGene00021332,17
WBGene00021766,16
WBGene00019716,15
WBGene00012719,15
WBGene00022280,12
WBGene00012584,11
WBGene00019698,11
WBGene00007486,11
WBGene00021751,10
WBGene00018837,10
WBGene00021009,10
WBGene00000553,9
WBGene00010160,9
WBGene00010334,9
WBGene00021036,9
WBGene00020199,8
WBGene00021423,8
WBGene00009297,8
WBGene00021697,8
WBGene00006436,8
WBGene00013075,8
WBGene00022087,8
WBGene00010521,8
WBGene00021425,7
WBGene00001636,7
WBGene00004215,7
WBGene00021685,7
WBGene00012676,7
WBGene00000898,6
WBGene00012158,6
WBGene00006986,6
WBGene00021440,6
WBGene00018468,6
WBGene00009853,6
WBGene00002280,6
WBGene00018388,6
WBGene00000527,6
WBGene00020520,6
WBGene00016514,6
WBGene00012362,6
WBGene00011522,6
WBGene00013549,6
WBGene00002176,6
WBGene00021281,5
WBGene00006140,5
WBGene00021808,5
WBGene00020598,5
WBGene00013732,5
WBGene00008438,5
WBGene00000793,5
WBGene00001186,5
WBGene00013485,5
WBGene00004403,5
WBGene00012474,5
WBGene00000797,5
WBGene00005408,5
WBGene00022388,5
WBGene00000367,5
WBGene00006876,5
WBGene00021507,5
WBGene00002163,5
WBGene00013158,5
WBGene00000168,5
WBGene00022361,5
WBGene00022389,5
WBGene00010161,5
WBGene00002243,5
WBGene00044701,4
WBGene00005690,4
WBGene00018777,4
WBGene00018794,4
WBGene00008140,4
WBGene00001813,4
WBGene00018734,4
WBGene00022374,4
WBGene00013530,4
WBGene00017900,4
WBGene00001439,4
WBGene00000160,4
WBGene00001494,4
WBGene00013730,4
WBGene00004739,4
WBGene00012316,4
WBGene00013558,4
WBGene00010150,4
WBGene00021549,4
WBGene00007438,4
WBGene00015916,4
WBGene00008443,4
WBGene00001630,4
WBGene00022450,4
WBGene00005590,4
WBGene00012775,4
WBGene00021444,4
WBGene00021689,4
WBGene00013124,4
WBGene00012989,4
WBGene00018898,4
WBGene00001556,4
WBGene00007176,4
WBGene00003380,4
WBGene00001258,4
WBGene00011246,4
WBGene00004314,4
WBGene00012845,4
WBGene00005847,4
WBGene00003025,4
WBGene00021811,4
WBGene00003709,4
WBGene00021327,4
WBGene00019261,4
WBGene00019169,4
WBGene00021783,4
WBGene00002025,4
WBGene00006468,4
WBGene00009234,4
WBGene00206377,4
WBGene00001557,4
WBGene00008052,4
WBGene00013934,4
WBGene00016698,4
WBGene00007027,4
WBGene00022285,4
WBGene00008081,4
WBGene00021858,4
WBGene00009178,4
WBGene00012828,4
WBGene00016970,3
WBGene00013557,3
WBGene00022199,3
WBGene00013620,3
WBGene00013580,3
WBGene00005973,3
WBGene00016935,3
WBGene00003150,3
WBGene00022281,3
WBGene00013240,3
WBGene00013425,3
WBGene00013447,3
WBGene00003916,3
WBGene00001616,3
WBGene00016913,3
WBGene00002078,3
WBGene00002151,3
WBGene00021752,3
WBGene00021738,3
WBGene00015268,3
WBGene00015422,3
WBGene00015425,3
WBGene00015429,3
WBGene00021698,3
WBGene00016524,3
WBGene00002975,3
WBGene00015586,3
WBGene00015606,3
WBGene00015754,3
WBGene00021596,3
WBGene00002230,3
WBGene00021564,3
WBGene00002845,3
WBGene00006536,3
WBGene00021443,3
WBGene00006697,3
WBGene00006411,3
WBGene00021820,3
WBGene00006383,3
WBGene00013764,3
WBGene00013667,3
WBGene00007433,3
WBGene00001660,3
WBGene00013680,3
WBGene00022104,3
WBGene00013683,3
WBGene00013690,3
WBGene00013738,3
WBGene00013742,3
WBGene00019832,3
WBGene00006993,3
