geneID,median_adult Ce,mean_adult Ce
WBGene00000001,35.5611,41.4097
WBGene00000002,3.06674,4.75293
WBGene00000003,3.54961,3.97307
WBGene00000004,9.50486,11.0758
WBGene00000005,4.26764,4.1845
WBGene00000006,3.28922,3.66262
WBGene00000007,4.07344,4.94843
WBGene00000008,0.214625,0.380559
WBGene00000009,0.2736,0.355616
WBGene00000010,22.3977,23.0255
WBGene00000012,8.7511,56.6247
WBGene00000013,5.59216,62.6279
WBGene00000014,1.00E-10,0.106738
WBGene00000015,0.0998471,0.472108
WBGene00000016,10.0245,11.7088
WBGene00000017,7.06033,9.59752
WBGene00000018,6.83032,8.22222
WBGene00000019,0.258974,2.68207
WBGene00000020,2.71692,3.22623
WBGene00000021,0.040138,0.28357
WBGene00000022,7.27304,8.34436
WBGene00000023,0.385751,2.11419
WBGene00000024,0.52449,1.82009
WBGene00000025,0.0213091,0.057569
WBGene00000026,1.00E-10,0.131732
WBGene00000027,0.0582877,0.120324
WBGene00000028,1.00E-10,0.0283422
WBGene00000029,0.100984,0.506226
WBGene00000030,0.395062,0.716998
WBGene00000031,1.10937,1.81641
WBGene00000032,0.201314,0.421793
WBGene00000033,1.3817,1.6959
WBGene00000034,1.68783,2.3128
WBGene00000035,2.58228,3.29328
WBGene00000036,4.17398,4.52444
WBGene00000037,0.976181,1.47905
WBGene00000038,0.223015,0.248583
WBGene00000039,2.52686,5.39231
WBGene00000040,63.4755,65.4803
WBGene00000041,318.808,300.321
WBGene00000042,0.248353,0.358081
WBGene00000043,0.17188,0.277126
WBGene00000044,0.337221,0.385813
WBGene00000045,0.0606328,0.0938679
WBGene00000046,0.337618,0.372527
WBGene00000047,0.599496,0.759864
WBGene00000048,0.223987,0.228141
WBGene00000049,0.109389,0.12495
WBGene00000050,0.859868,0.80017
WBGene00000051,0.656528,0.906892
WBGene00000053,0.0904396,0.193372
WBGene00000054,1.48887,2.05008
WBGene00000055,1.64423,1.95692
WBGene00000056,2.01912,2.63421
WBGene00000057,1.58379,1.8593
WBGene00000058,0.576237,0.619988
WBGene00000059,0.872553,0.95853
WBGene00000060,0.214699,0.306864
WBGene00000061,0.227386,0.289059
WBGene00000062,0.11792,0.182971
WBGene00000063,601.381,837.564
WBGene00000064,875.605,989.186
WBGene00000065,486.954,689.773
WBGene00000066,702.933,868.261
WBGene00000067,272.02,337.542
WBGene00000068,2.05955,2.82626
WBGene00000069,0.25657,0.376862
WBGene00000070,2.2,2.42439
WBGene00000071,2.33326,2.62769
WBGene00000072,2.7372,3.26982
WBGene00000073,16.5612,15.4428
WBGene00000074,8.58423,8.47345
WBGene00000075,8.13896,8.38483
WBGene00000079,74.8314,86.1752
WBGene00000080,51.8261,55.5743
WBGene00000081,59.062,61.4444
